Eps 	 Mass 	 ProdRate 	 BR(ee) 	 BR(mumu) 	 Acc(ee) 	 Acc(mumu) 	 TotalAcc 	 nEventsInSHiP
1e-07 	 1.0 	 1.98423631636e-15 	 0.430936118801 	 0.411785599739 	 0.00285983673469 	 0.0028906122449 	 0.00242271943973 	 961.449579334 
2e-07 	 1.0 	 7.93694526544e-15 	 0.430936118801 	 0.411785599739 	 0.00390881632653 	 0.00395575510204 	 0.00331337312398 	 5259.6122258 
1e-05 	 0.2 	 3.08128118125e-11 	 0.755133764818 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
5e-08 	 0.2 	 7.70320295313e-16 	 0.755133764818 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
7e-08 	 0.8 	 1.0376020599e-15 	 0.33690257153 	 0.31358310261 	 0.0011466122449 	 0.001196 	 0.000761342004576 	 157.994006447 
4e-07 	 0.9 	 3.27533949812e-14 	 0.463762183923 	 0.438352123655 	 0.00361583673469 	 0.00368155102041 	 0.00329070404893 	 21556.3458962 
0.0008 	 0.003 	 3.69192473595e-07 	 0.872996676022 	 -0.0 	 0.0 	 0.0 	 0.0 	 0.0 
8e-05 	 0.03 	 2.72956569662e-09 	 0.98459341647 	 -0.0 	 0.0 	 0.0 	 0.0 	 0.0 
8e-06 	 0.2 	 1.972019956e-11 	 0.755133764818 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
8e-07 	 0.7 	 1.40732212659e-13 	 0.200344403829 	 0.182280774683 	 0.000284571428571 	 0.000285714285714 	 0.000109092514542 	 3070.56619121 
3e-07 	 0.001 	 4.99204675497e-14 	 0.0 	 -0.0 	 0 	 0.0 	 0.0 	 0.0 
