Eps 	 Mass 	 ProdRate 	 BR(ee) 	 BR(mumu) 	 Acc(ee) 	 Acc(mumu) 	 TotalAcc 	 nEventsInSHiP
0.001 	 0.003 	 5.92539556216e-07 	 0.872996676022 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
0.0003 	 0.009 	 4.24818575258e-08 	 0.973046776054 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
2e-07 	 0.009 	 1.92922324926e-14 	 0.973046776054 	 -0.0 	 0.000693632653061 	 0 	 0.000674937016827 	 2604.2083693 
0.0001 	 0.03 	 4.26493793283e-09 	 0.98459341647 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
3e-05 	 0.08 	 3.33315580185e-10 	 0.985576366165 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
7e-08 	 0.08 	 1.81471815879e-15 	 0.985576366165 	 -0.0 	 8.57142857143e-06 	 0 	 8.44779742428e-06 	 3.06607427752 
1e-05 	 0.2 	 3.08128118125e-11 	 0.755133764818 	 0.0 	 0.0 	 0 	 0.0 	 0.0 
4e-08 	 0.2 	 4.93004989001e-16 	 0.755133764818 	 0.0 	 0.0 	 0 	 0.0 	 0.0 
1e-06 	 0.7 	 2.1989408228e-13 	 0.200344403829 	 0.182280774683 	 0.0 	 0.0 	 0.0 	 0.0 
5e-08 	 0.7 	 5.497352057e-16 	 0.200344403829 	 0.182280774683 	 0.00162579591837 	 0.00166285714286 	 0.0006288260022 	 69.1375583337 
1e-07 	 0.9 	 2.04708718633e-15 	 0.463762183923 	 0.438352123655 	 0.00277763265306 	 0.00282334693878 	 0.00252578111174 	 1034.09882986 
