Eps 	 Mass 	 ProdRate 	 BR(ee) 	 BR(mumu) 	 Acc(ee) 	 Acc(mumu) 	 TotalAcc 	 nEventsInSHiP
0.001 	 0.01 	 5.05936416326e-07 	 0.97545481035 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
0.0001 	 0.01 	 4.78971247583e-09 	 0.97545481035 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
1e-05 	 0.01 	 4.78363026455e-11 	 0.97545481035 	 -0.0 	 0.004488 	 0 	 0.00437784118885 	 41883947.2088 
1e-06 	 0.01 	 4.78363026455e-13 	 0.97545481035 	 -0.0 	 2e-05 	 0 	 1.9509096207e-05 	 1866.486061 
1e-07 	 0.01 	 4.78363026455e-15 	 0.97545481035 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
0.001 	 0.1 	 3.44980036054e-07 	 0.985634278484 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
0.0001 	 0.1 	 3.56073759347e-09 	 0.985634278484 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
1e-05 	 0.1 	 3.56073759347e-11 	 0.985634278484 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
1e-06 	 0.1 	 3.56073759347e-13 	 0.985634278484 	 -0.0 	 0.003876 	 0 	 0.0038203184634 	 272063.031433 
1e-07 	 0.1 	 3.56073759347e-15 	 0.985634278484 	 -0.0 	 0.0 	 0 	 0.0 	 0.0 
0.001 	 1.0 	 1.96484355632e-07 	 0.430936118801 	 0.411785599739 	 0.0 	 0.0 	 0.0 	 0.0 
0.0001 	 1.0 	 1.98423631636e-09 	 0.430936118801 	 0.411785599739 	 0.0 	 0.0 	 0.0 	 0.0 
1e-05 	 1.0 	 1.98423631636e-11 	 0.430936118801 	 0.411785599739 	 0.0 	 0.0 	 0.0 	 0.0 
1e-06 	 1.0 	 1.98423631636e-13 	 0.430936118801 	 0.411785599739 	 0.0 	 0.0 	 0.0 	 0.0 
1e-07 	 1.0 	 1.98423631636e-15 	 0.430936118801 	 0.411785599739 	 0.000248 	 0.00022 	 0.000197464989405 	 78.3634406376 
